Processing lilygo-t-display-s3 (platform: espressif32; board: lilygo-t-display-s3; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Loop Step: 0.0060 | Loop Time: 70.9950 | Pressure: 1.56226929
Loop Step: 0.0060 | Loop Time: 71.0010 | Pressure: 1.80152710
Loop Step: 0.0060 | Loop Time: 71.0070 | Pressure: 1.84388550
Loop Step: 0.0060 | Loop Time: 71.0130 | Pressure: 1.87373169
Loop Step: 0.0060 | Loop Time: 71.0190 | Pressure: 1.83430298
Loop Step: 0.0060 | Loop Time: 71.0250 | Pressure: 1.81458862
Loop Step: 0.0060 | Loop Time: 71.0310 | Pressure: 1.77540405
Loop Step: 0.0060 | Loop Time: 71.0370 | Pressure: 1.82050903
Loop Step: 0.0060 | Loop Time: 71.0430 | Pressure: 1.97590454
Loop Step: 0.0060 | Loop Time: 71.0490 | Pressure: 1.92060669
Loop Step: 0.0060 | Loop Time: 71.0550 | Pressure: 1.89625366
Loop Step: 0.0060 | Loop Time: 71.0610 | Pressure: 1.95490845
Loop Step: 0.0060 | Loop Time: 71.0670 | Pressure: 1.91981323
Loop Step: 0.0060 | Loop Time: 71.0730 | Pressure: 1.90943726
Loop Step: 0.0060 | Loop Time: 71.0790 | Pressure: 1.85859497
