Processing lilygo-t-display-s3 (platform: espressif32; board: lilygo-t-display-s3; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
e: 39.66 | Pressure: -0.03 | Solenoid: RELEASE
Loop Step: 0.018 | Loop Time: 43.17 | Pressure: 0.91 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 43.19 | Pressure: 1.66 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 43.20 | Pressure: 0.95 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 43.22 | Pressure: 0.93 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 43.24 | Pressure: 0.96 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 43.26 | Pressure: 1.00 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 43.27 | Pressure: 0.96 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 43.29 | Pressure: 1.40 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 43.31 | Pressure: 1.00 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 43.33 | Pressure: 1.01 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 43.35 | Pressure: 0.98 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 43.37 | Pressure: 1.01 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 43.38 | Pressure: 0.99 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 43.40 | Pressure: 0.95 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 43.42 | Pressure: 1.06 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 43.44 | Pressure: 1.05 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 43.45 | Pressure: 1.03 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 43.47 | Pressure: 1.09 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 43.49 | Pressure: 1.16 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 43.51 | Pressure: 1.11 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 43.53 | Pressure: 1.12 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 43.55 | Pressure: 1.12 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 43.56 | Pressure: 1.08 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 43.58 | Pressure: 1.13 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 43.60 | Pressure: 1.48 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 43.62 | Pressure: 1.10 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 43.63 | Pressure: 1.12 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 43.65 | Pressure: 1.09 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 43.67 | Pressure: 1.15 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 43.69 | Pressure: 1.15 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 43.71 | Pressure: 1.21 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 43.73 | Pressure: 1.21 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 43.74 | Pressure: 1.17 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 43.76 | Pressure: 1.25 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 43.78 | Pressure: 1.17 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 43.80 | Pressure: 1.24 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 43.81 | Pressure: 1.25 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 43.83 | Pressure: 1.29 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 43.85 | Pressure: 1.32 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 43.87 | Pressure: 1.31 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 43.89 | Pressure: 1.25 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 43.91 | Pressure: 1.73 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 43.92 | Pressure: 1.35 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 43.94 | Pressure: 1.30 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 43.96 | Pressure: 1.33 | Solenoid: PRESSURIZE
Loop Step: 0.018 | Loop Time: 43.98 | Pressure: 1.37 | Solenoid: PRESSURIZE
